brand,series,model,ad_title,year,mileage,color,price,ad_date,city,district,url
Audi,A3,A3 Sportback 1.6,SAHİBİNDEN,2006,251500,Siyah,443250.0,22 Mayıs 2023,İstanbul,Kadıköy,/ilan/vasita-otomobil-audi-sahibinden-1096067640/detay
Audi,A4,A4 Sedan 1.9 TDI,Sahibinden A3 Daha Dolusu Yok Dosta Gidecek Acil! Otomatik 130 hp,2003,193000,Siyah,425000.0,25 Mayıs 2023,İstanbul,Arnavutköy,/ilan/vasita-otomobil-audi-sahibinden-a3-sb2f-dolusu-yok-dosta-gidecek-acil-otomatik-130-hp-846833919/detay
Audi,A3,A3 Sportback 1.4 TFSI,Komple boyalı ağır hasar yok,2009,240000,Siyah,445000.0,25 Mayıs 2023,İstanbul,Esenyurt,/ilan/vasita-otomobil-audi-komple-boyali-agir-hasar-yok-1101646881/detay
Audi,A3,A3 Sportback 1.4 TFSI,SAHİBİNDEN TEMİZ!!!,2009,245000,Kırmızı,445000.0,20 Mayıs 2023,İstanbul,Avcılar,/ilan/vasita-otomobil-audi-sahibinden-temiz-1086096032/detay
Audi,A3,A3 Sportback 1.6 FSI,2007 AUDİ A3 MASRAFSIZ BAKIMLARI YENİ DOLU LPG Lİ,2007,255000,Siyah,459500.0,21 Mayıs 2023,Kocaeli,Derince,/ilan/vasita-otomobil-audi-2007-audi-a3-masrafsiz-bakimlari-yeni-dolu-lpg-li-1100738629/detay
Audi,A6,A6 Avant 2.5 TDI Quattro,EMSALSİZ AUDİ A6 Avant 2.5 TDI Quattro Gümrük Çıkışlı 198.000KM,2001,198000,Siyah,475000.0,22 Mayıs 2023,Samsun,Canik,/ilan/vasita-otomobil-audi-emsalsiz-audi-a6-avant-2.5-tdi-quattro-gumruk-cikisli-198.000km-1101021764/detay
Audi,A4,A4 Sedan 2.0 TDI,A4 2.0 TDİ AT TEMİZİNİ BULMAK ZOR TÜM BAKIMLARI YAPILDI 50.000TL,2006,283000,Gümüş Gri,479000.0,23 Mayıs 2023,İstanbul,Başakşehir,/ilan/vasita-otomobil-audi-a4-2.0-tdi-at-temizini-bulmak-zor-tum-bakimlari-yapildi-50.000tl-1092697123/detay
Audi,A6,A6 Sedan 2.0 TDI,Temiz Sahibinden,2008,279000,Füme,485000.0,23 Mayıs 2023,Kayseri,Melikgazi,/ilan/vasita-otomobil-audi-temiz-sahibinden-1101126717/detay
Audi,A3,A3 Sportback 1.6,SAHİBİNDEN OTOMATİK LANSMAN RENK ORJİNAL 210 BİNDE,2005,211000,Lacivert,489750.0,23 Mayıs 2023,İzmir,Ödemiş,/ilan/vasita-otomobil-audi-sahibinden-otomatik-lansman-renk-orjinal-210-binde-1101318001/detay
Audi,A6,A6 Sedan 3.0 TDI Quattro,A6 Quatro Prestij ve Güç 3.0 TDi,2006,327000,Siyah,495000.0,23 Mayıs 2023,Ankara,Altındağ,/ilan/vasita-otomobil-audi-a6-quatro-prestij-ve-guc-3.0-tdi-1093776628/detay
Audi,A3,A3 Sportback 1.6,SAĞLIKÇIDAN TAVAN KAPUT ORJİNAL 220 BİNDE İŞLEMSİZ TAKAS OLUR,2011,220000,Beyaz,495000.0,25 Mayıs 2023,İstanbul,Kağıthane,/ilan/vasita-otomobil-audi-saglikcidan-tavan-kaput-orjinal-220-binde-islemsiz-takas-olur-1098549544/detay
Audi,A6,A6 Sedan 2.0 TDI,AUDİ A6 2.0 TDİ SEDAN ORJ. 325 KM.. SIFIR MUYENE.,2008,325000,Siyah,495000.0,29 Nisan 2023,İstanbul,Kadıköy,/ilan/vasita-otomobil-audi-audi-a6-2.0-tdi-sedan-orj-325-km-sifir-muyene-1096057106/detay
Audi,A3,A3 Sportback 1.4 TFSI,SAHİBİNDEN AUDİ A3 SPORTBACK 2008 MODEL 4 PARÇA BOYALI 1.4 TURBO,2008,235000,Siyah,496750.0,25 Mayıs 2023,Çorum,Merkez,/ilan/vasita-otomobil-audi-sahibinden-audi-a3-sportback-2008-model-4-parca-boyali-1.4-turbo-1101665994/detay
Audi,A3,A3 Sportback 1.6,Bakımlı Audi A3,2009,330000,Siyah,505000.0,23 Mayıs 2023,Ankara,Etimesgut,/ilan/vasita-otomobil-audi-bakimli-audi-a3-1101139989/detay
Audi,A3,A3 Sportback 1.4 TFSI,İSTEDİĞİM ARACI BULDUĞUM İÇİN... ACİL SATILIK,2009,185000,Beyaz,510000.0,23 Mayıs 2023,İstanbul,Maltepe,/ilan/vasita-otomobil-audi-istedigim-araci-buldugum-icin-acil-satilik-1101292088/detay
Audi,A3,A3 Sportback 1.6,"Memurdan Değişensiz, Cam Tavan, Düşük Km A3",2009,163000,Gümüş Gri,525000.0,23 Mayıs 2023,Kahramanmaraş,Onikişubat,/ilan/vasita-otomobil-audi-memurdan-degisensiz-cam-tavan-dusuk-km-a3-1101310707/detay
Audi,A4,A4 Sedan 2.0 TFSI Quattro,ACİL QUATTRO S-LINE BAKIMLI İÇİ BEJ TERTEMİZ AİLE ARACI,2007,265000,Siyah,529000.0,22 Mayıs 2023,İstanbul,Üsküdar,/ilan/vasita-otomobil-audi-acil-quattro-s-line-bakimli-ici-bej-tertemiz-aile-araci-1100936696/detay
Audi,A4,A4 Sedan 1.6,YARIN İÇİN GEÇERLİ PAZARLIKSIZ FİYAT,2007,185500,Gümüş Gri,537500.0,20 Mayıs 2023,Kütahya,Tavşanlı,/ilan/vasita-otomobil-audi-yarin-icin-gecerli-pazarliksiz-fiyat-1094158999/detay
Audi,A4,A4 Sedan 2.0 TFSI Quattro,SAHİBİNDEN TEMİZ SIFIR MASRAFSIZ QUATTRO,2005,220000,Bej,549500.0,24 Mayıs 2023,İstanbul,Arnavutköy,/ilan/vasita-otomobil-audi-sahibinden-temiz-sifir-masrafsiz-quattro-1101556435/detay
Audi,A4,A4 Sedan 1.6,SAHİBİNDEN AUDİ A4 TEMİZ ARAÇ MASRAFSIZ,2008,280000,Füme,550000.0,23 Mayıs 2023,Giresun,Dereli,/ilan/vasita-otomobil-audi-sahibinden-audi-a4-temiz-arac-masrafsiz-1101209334/detay
Audi,A6,A6 Sedan 2.0 TDI,FULL BAKIMLI A6,2008,285000,Siyah,556000.0,18 Mayıs 2023,Bursa,İnegöl,/ilan/vasita-otomobil-audi-full-bakimli-a6-1100195202/detay
